run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,subject,session
3,2,12,2.0,animals,1,animals_1,17,89,9,17,11,1,1,9.0,2500,1000,1000,2382.6930508824353,0,1375.032641573295,6000.0,14266.72569245573,0,0
3,2,17,2.0,food,2,food_2,18,90,6,12,11,1,1,9.0,2500,1000,1000,2273.564477113273,0,1087.918860106015,8500.0,16370.483337219288,0,0
3,3,17,1.6,leg,2,leg_2,19,91,3,6,5,1,1,11.25,2500,1000,1000,2184.596105888821,0,1380.9961330946333,10625.0,18701.842238983452,0,0
3,3,15,1.6,hands,1,hands_1,20,92,7,13,10,2,1,11.25,2500,1000,1000,2321.7874212773577,0,1645.5365582388333,9375.0,17853.573979516194,0,0
3,3,16,1.6,face,2,face_2,21,93,1,2,18,2,1,11.25,2500,1000,1000,2500.5823618491277,0,1587.7883856163808,10000.0,18599.62074746551,0,0
3,3,13,1.6,shapes,1,shapes_1,22,94,8,15,10,2,1,11.25,2500,1000,1000,2259.4895705303124,0,1240.3226171505985,8125.0,16136.062187680911,0,0
3,3,12,1.6,house,2,house_2,23,95,2,4,16,2,1,11.25,2500,1000,1000,2776.68141227737,0,1549.0768958703013,7500.0,16337.008308147671,0,0
3,3,17,1.6,animals,2,animals_2,24,96,9,18,17,1,1,11.25,2500,1000,1000,2682.0236371056317,1000,1552.536871843237,10625.0,20370.810508948867,0,0
3,3,14,1.6,object,1,object_1,25,97,5,9,5,1,1,11.25,2500,1000,1000,2250.5865598616338,0,1778.3630153907282,8750.0,17290.19957525236,0,0
3,3,13,1.6,food,2,food_2,26,98,6,12,7,1,1,11.25,2500,1000,1000,2627.4652891432206,0,1376.3157450087933,8125.0,16640.031034152016,0,0
3,3,12,1.6,tool,2,tool_2,27,99,4,8,2,2,1,11.25,2500,1000,1000,2612.690792204525,0,1499.7979050984914,7500.0,16123.738697303015,0,0
