run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,target_cat,target_cat_pos,start_cat,start_cat_pos,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
3,1,15,1.6,object,1,object_1,9,81,7,13,10,2,1,0.0,2500,1000,1000,2969.705143610347,0,1641.1655707274713,9375.0,18485.87071433782,1,5,2,7,1,0,0,0,0,0,0.0,,,,0,,1,1
3,2,16,2.0,tool,2,tool_2,10,82,5,10,8,2,1,9.0,2500,1000,1000,2197.345281646262,0,1039.5367240158803,8000.0,15745.88200566214,1,4,2,5,2,0,0,0,0,0,0.0,,,,0,,1,1
3,2,13,2.0,animal,1,animal_1,11,83,4,7,2,2,1,0.0,2500,1000,1000,2038.9718816217758,0,1139.5379245825038,6500.0,14178.50980620428,1,1,2,4,1,0,0,0,0,0,0.0,,,,0,,1,1
3,2,15,2.0,leg,1,leg_1,12,84,6,11,8,2,1,0.0,2500,1000,1000,2215.7287229520966,0,1254.8452051437346,7500.0,15470.573928095831,1,4,2,6,1,0,0,0,0,0,0.0,,,,0,,1,1
3,2,15,2.0,food,2,food_2,13,85,8,16,13,1,1,0.0,2500,1000,1000,2053.4716804273985,1000,1197.060981864232,7500.0,16250.532662291631,1,7,1,8,2,1,7,5,3,1,3500.0,4.0,2.0,8.0,-1,1.0,1,1
3,2,14,2.0,face,1,face_1,14,86,3,5,1,1,1,0.0,2500,1000,1000,2371.746598983637,0,1289.9660439495096,7000.0,15161.712642933146,1,1,1,3,1,0,0,0,0,0,0.0,,,,0,,1,1
3,2,17,2.0,shape,1,shape_1,15,87,9,17,16,2,1,0.0,2500,1000,1000,2029.2233796651815,0,1323.8210437100984,8500.0,16353.04442337528,1,8,2,9,1,0,0,0,0,0,0.0,,,,0,,1,1
3,2,15,2.0,hand,1,hand_1,16,88,1,1,16,2,1,0.0,2500,1000,1000,2525.4567265420606,1000,1028.7820770928352,7500.0,16554.238803634897,1,8,2,1,1,1,8,9,5,1,4000.0,6.0,2.0,12.0,1,-1.0,1,1
3,2,14,2.0,house,1,house_1,17,89,2,3,17,1,1,0.0,2500,1000,1000,2475.116508932838,0,1172.0702775538505,7000.0,15147.186786486687,1,9,1,2,1,0,0,0,0,0,0.0,,,,0,,1,1
3,2,12,2.0,object,2,object_2,18,90,7,14,8,2,1,0.0,2500,1000,1000,2090.9962671545422,0,1479.246855944421,6000.0,14070.243123098962,1,4,2,7,2,0,0,0,0,0,0.0,,,,0,,1,1
